ID;m1(Msun);m2(Msun);porb(days);e;a(AU);p1(s);p2(s);pdot1(s/s);pdot2(s/s);b1(T);b2(T);x(kpc);y(kpc);z(kpc);vx(km/s);vy(km/s);vz(km/s);l1(mJy kpc²);l2(mJy kpc²)
10001;1.359923527290315;1.6010511516456853;3.0;0.7720381526197544;0.05845642492040375;0.03162277660168379;0.03162277660168379;1.0488484726598858e-22;7.205950423826241e-19;5827.823003703818;483053.9227730141;0.8962880683493566;-2.7312091324724257;-4.054098019384677;-236.44494055558178;-430.0021006818747;-22.696652951085895;2308.0181397975853;2056.01593104884
10002;1.2699637364760656;1.3728129345684421;3.0;0.5548908122339554;0.056282603011204795;0.03162277660168379;0.03162277660168379;4.749049523002772e-15;5.815953120264336e-22;39215100.06458222;13723.359075603048;-2.749670940858282;-5.771192682809103;-4.138592744405565;103.61856293190918;220.28872177847018;-2.013740674381847;1340.180494785809;4780.432257644791
10003;1.2988012703258316;1.767545731901144;3.0;0.9199214693594578;0.05914178844621877;0.03162277660168379;0.03162277660168379;1.9702503315364983e-16;6.1736840546248404e-18;7987496.538313982;1413911.3424427623;13.804220233903337;2.6695489485882895;1.141551426095246;22.002030862918105;162.18243399787437;-14.592951520688985;2289.5595589910226;2892.090599340194
10004;2.4573655608553224;1.2971874289668865;3.0;0.41282151600090566;0.0632713012175712;0.03162277660168379;0.03162277660168379;2.571930532152757e-16;1.4158599272693328e-18;9125981.738147186;677111.396386281;5.41536437044698;9.059306019074963;-3.3753959563854172;78.89224020071879;-124.57976168341263;-0.0411367944943605;1092.7249848346362;1857.5459821726
10005;1.6422868753825515;1.9059878560240044;3.0;0.8562823656157427;0.062090682395468735;0.03162277660168379;0.03162277660168379;9.691408634333433e-23;3.963874937342466e-23;5602.004214599765;3582.695928759353;-14.625203776199285;6.962188864355085;4.823335284269849;240.55626691438448;165.2926346802295;0.30425784945769474;1233.1215479190107;5431.568589478037
10006;1.9398296785237261;1.391946179189719;3.0;0.47671883304192075;0.06080126462382062;0.03162277660168379;0.03162277660168379;1.3801936814023304e-19;1.283626897286948e-22;211407.30784184928;6447.173871668523;-13.614301981044596;1.6479368975775337;1.7740357364114896;222.09087908611042;-86.8243002104301;12.16377396815919;1395.158770091038;2532.751430994321
10007;1.744756052143897;1.265503160517012;3.0;0.7158926723962206;0.058778971795232816;0.03162277660168379;0.03162277660168379;6.783377875035697e-18;1.3106764233146293e-19;1482084.5623060372;206014.46841697843;12.92710246298764;13.55334962733571;0.7262246062922406;-184.45695822106615;207.52528251657003;10.677482424664504;2147.033098518859;1136.8525362169473
10008;1.3677919612637162;1.3923850283479047;3.0;0.302958329138279;0.057103973677374936;0.03162277660168379;0.03162277660168379;5.921563119476103e-13;1.0940752004255954e-22;437893158.2975483;5952.14586044941;-14.205995412639446;0.4539664004274524;-2.0198471420916175;-54.45312038064344;-175.82767715084054;26.30912841918219;1254.1300491220172;3216.0335389111774
10009;1.731042789670626;1.389105916411655;3.0;0.301150284412245;0.05948568281492354;0.03162277660168379;0.03162277660168379;2.99637972731308e-13;3.2319816511791636e-18;311493080.263705;1023020.7004046562;12.947297389792052;11.968143632468252;-0.7490484124656946;-58.84226619441114;143.1009051581823;-19.44828086417745;1172.5875546736359;1097.6906917896574
10010;1.32739309681093;1.3078005614737833;3.0;0.22693897126809204;0.05622872021988795;0.03162277660168379;0.03162277660168379;1.756924529992402e-15;2.1607607594266003e-13;23852095.061859712;264516836.70396632;-2.9705020026494324;6.727750761773745;-3.523447225774415;131.15394811142252;-249.25560482254323;-12.898335866907004;1125.7488491207073;2363.4510867175954
